date,Predictions
2025-12-20,117.08023
2025-12-21,119.975655
2025-12-22,89.061714
2025-12-23,78.81774
2025-12-24,80.88049
2025-12-25,70.67628
2025-12-26,47.647022
2025-12-27,82.389206
2025-12-28,77.17294
2025-12-31,58.14049
2026-01-01,59.715294
2026-01-02,60.343822
2026-01-03,55.20558
2026-01-04,53.222202
2026-01-05,70.914215
2026-01-06,78.059044
2026-01-07,84.29881
2026-01-08,85.28026
2026-01-09,80.42896
2026-01-10,88.64813
2026-01-11,106.81054
2026-01-12,75.52124
2026-01-13,75.56702
2026-01-14,99.05955
2026-01-15,90.12234
2026-01-16,132.88918
2026-01-17,95.73262
2026-01-18,62.57831
2026-01-19,76.06713
2026-01-20,72.524895
